Timestamp,Location/Place address (MEERUT ONLY),Type of location,Overall Risk Level,Type of safety concern,Frequency of incidents,Time when risk is higher,Have you personally experienced or observed a safety issue here?,"If yes, briefly describe it",How confident do you feel navigating this location as a solo traveler?,Which emergency services or local authorities are most easily accessible at this location?,How approachable and helpful do you find the local tourism authorities or police in resolving safety concerns?
23/09/2026 14:05:52,Meerut,Public area,Medium (eg- Busy market late in the evening),No major concern,Frequent,Evening,Yes,Not sure about it ,Moderately confident,"Local Police Station, Medical Clinic/Hospital",5
23/09/2026 14:09:42,Mars,Public area,High (eg- Isolated tourist spot with repeated incidents like harassment/theft and poor lighting),Crowded area,Frequent,Same throughout the day,,,Moderately confident,"Local Police Station, None of the above",5
23/09/2026 14:15:09,Meerut ,Public area,Medium (eg- Busy market late in the evening),"Accident, Unsafe roads, Crowded area, Medical emergency",Frequent,Evening,Yes,There is no traffic police to handle the college students crowd,Moderately confident,"Local Police Station, Medical Clinic/Hospital",5
23/09/2026 14:17:48,Meerut ,Public area,Medium (eg- Busy market late in the evening),"Accident, Unsafe roads, Crowded area, Medical emergency",Frequent,Evening,No,,Very confident,"Local Police Station, Medical Clinic/Hospital",5
23/09/2026 14:18:23,Meerut ,Hotel/accommodation,Medium (eg- Busy market late in the evening),"Accident, Unsafe roads",Occasional,Night,No,,Slightly confident,"Local Police Station, Medical Clinic/Hospital",3
23/09/2026 14:22:38,Miet,Public area,High (eg- Isolated tourist spot with repeated incidents like harassment/theft and poor lighting),"Accident, Unsafe roads, Crowded area, Medical emergency",Occasional,Day,No,,Very confident,"Local Police Station, Medical Clinic/Hospital",5
23/09/2026 14:23:10,Miet,College ,High (eg- Isolated tourist spot with repeated incidents like harassment/theft and poor lighting),"Accident, Unsafe roads, Crowded area, Medical emergency",Frequent,Evening,No,,Extremely confident,"Local Police Station, Medical Clinic/Hospital",5
23/09/2026 14:25:06,Miet ,Public area,High (eg- Isolated tourist spot with repeated incidents like harassment/theft and poor lighting),"Accident, Unsafe roads, Crowded area, Medical emergency",Rare,Evening,No,,Very confident,"Local Police Station, Medical Clinic/Hospital",5
23/09/2026 14:25:58,Bhagpat Bypass,Public area,High (eg- Isolated tourist spot with repeated incidents like harassment/theft and poor lighting),Accident,Frequent,Day,No,Na,Moderately confident,Medical Clinic/Hospital,5
23/09/2026 14:26:58,Meerut,"Tourist attraction, Hotel/accommodation",Medium (eg- Busy market late in the evening),"Theft, Unsafe roads, Crowded area",Frequent,Same throughout the day,No,Nope,Not confident at all,Tourist Police,1
23/09/2026 14:47:01,Meerut,Tourist attraction,Low (eg- Popular tourist market during daytime),Theft,Rare,Day,No,,Not confident at all,Local Police Station,4
23/09/2026 16:59:39,Bihar,Tourist attraction,Medium (eg- Busy market late in the evening),Unsafe roads,Frequent,Night,No,,Moderately confident,Medical Clinic/Hospital,5
23/09/2026 18:04:06,Miet,"Hotel/accommodation, Restaurant/café",Medium (eg- Busy market late in the evening),No major concern,Rare,Same throughout the day,No,,Moderately confident,None of the above,5
23/09/2026 21:09:08,Miet ,Public area,High (eg- Isolated tourist spot with repeated incidents like harassment/theft and poor lighting),"Theft, Harassment, Accident, Unsafe roads, Crowded area, Medical emergency",Occasional,Evening,No,,Extremely confident,"Local Police Station, Medical Clinic/Hospital",5
24/09/2026 20:01:53,Meerut ,Public area,Medium (eg- Busy market late in the evening),"Harassment, Accident, Unsafe roads, Crowded area, Poor lighting",Frequent,Night,Yes,No ,Slightly confident,Medical Clinic/Hospital,2
24/09/2026 22:36:04,GangaNagar,"Market, Hotel/accommodation, Restaurant/café, Colleges ",Medium (eg- Busy market late in the evening),"Accident, Unsafe roads, Crowded area",Frequent,Night,No,Na,Extremely confident,"Local Police Station, Tourist Police, Medical Clinic/Hospital",3
